"Town","FIPS","Year","Foreclosure","Measure Type","Variable","Value"
"Deep River","0900719130","2016","Lis Penden Filings","Number","Foreclosures","13"
"Deep River","0900719130","2016","Total Foreclosures","Number","Foreclosures","0"
"Derby","0900919550","2008","Lis Penden Filings","Number","Foreclosures","64"
"Derby","0900919550","2008","Total Foreclosures","Number","Foreclosures","16"
"Derby","0900919550","2009","Lis Penden Filings","Number","Foreclosures","100"
"Derby","0900919550","2009","Total Foreclosures","Number","Foreclosures","11"
"Derby","0900919550","2010","Lis Penden Filings","Number","Foreclosures","96"
"Derby","0900919550","2010","Total Foreclosures","Number","Foreclosures","30"
"Derby","0900919550","2011","Lis Penden Filings","Number","Foreclosures","71"
"Derby","0900919550","2011","Total Foreclosures","Number","Foreclosures","11"
"Derby","0900919550","2012","Lis Penden Filings","Number","Foreclosures","76"
"Derby","0900919550","2012","Total Foreclosures","Number","Foreclosures","12"
"Derby","0900919550","2013","Lis Penden Filings","Number","Foreclosures","124"
"Derby","0900919550","2013","Total Foreclosures","Number","Foreclosures","21"
"Derby","0900919550","2014","Lis Penden Filings","Number","Foreclosures","90"
"Derby","0900919550","2014","Total Foreclosures","Number","Foreclosures","30"
"Derby","0900919550","2015","Lis Penden Filings","Number","Foreclosures","66"
"Derby","0900919550","2015","Total Foreclosures","Number","Foreclosures","21"
"Derby","0900919550","2016","Lis Penden Filings","Number","Foreclosures","75"
"Derby","0900919550","2016","Total Foreclosures","Number","Foreclosures","23"
"Durham","0900720810","2008","Lis Penden Filings","Number","Foreclosures","24"
"Durham","0900720810","2008","Total Foreclosures","Number","Foreclosures","7"
"Durham","0900720810","2009","Lis Penden Filings","Number","Foreclosures","31"
"Durham","0900720810","2009","Total Foreclosures","Number","Foreclosures","7"
"Durham","0900720810","2010","Lis Penden Filings","Number","Foreclosures","24"
"Durham","0900720810","2010","Total Foreclosures","Number","Foreclosures","7"
"Durham","0900720810","2011","Lis Penden Filings","Number","Foreclosures","7"
"Durham","0900720810","2011","Total Foreclosures","Number","Foreclosures","0"
"Durham","0900720810","2012","Lis Penden Filings","Number","Foreclosures","21"
"Durham","0900720810","2012","Total Foreclosures","Number","Foreclosures","0"
"Durham","0900720810","2013","Lis Penden Filings","Number","Foreclosures","40"
"Durham","0900720810","2013","Total Foreclosures","Number","Foreclosures","0"
"Durham","0900720810","2014","Lis Penden Filings","Number","Foreclosures","25"
"Durham","0900720810","2014","Total Foreclosures","Number","Foreclosures","15"
"Durham","0900720810","2015","Lis Penden Filings","Number","Foreclosures","10"
"Durham","0900720810","2015","Total Foreclosures","Number","Foreclosures","0"
"Durham","0900720810","2016","Lis Penden Filings","Number","Foreclosures","21"
"Durham","0900720810","2016","Total Foreclosures","Number","Foreclosures","0"
"Eastford","0901521860","2008","Lis Penden Filings","Number","Foreclosures","8"
"Eastford","0901521860","2008","Total Foreclosures","Number","Foreclosures","1"
"Eastford","0901521860","2009","Lis Penden Filings","Number","Foreclosures","7"
"Eastford","0901521860","2009","Total Foreclosures","Number","Foreclosures","3"
"Eastford","0901521860","2010","Lis Penden Filings","Number","Foreclosures","13"
"Eastford","0901521860","2010","Total Foreclosures","Number","Foreclosures","2"
"Eastford","0901521860","2011","Lis Penden Filings","Number","Foreclosures","5"
"Eastford","0901521860","2011","Total Foreclosures","Number","Foreclosures","0"
"Eastford","0901521860","2012","Lis Penden Filings","Number","Foreclosures","8"
"Eastford","0901521860","2012","Total Foreclosures","Number","Foreclosures","0"
"Eastford","0901521860","2013","Lis Penden Filings","Number","Foreclosures","9"
"Eastford","0901521860","2013","Total Foreclosures","Number","Foreclosures","5"
"Eastford","0901521860","2014","Lis Penden Filings","Number","Foreclosures","29"
"Eastford","0901521860","2014","Total Foreclosures","Number","Foreclosures","15"
"Eastford","0901521860","2015","Lis Penden Filings","Number","Foreclosures","1"
"Eastford","0901521860","2015","Total Foreclosures","Number","Foreclosures","8"
"Eastford","0901521860","2016","Lis Penden Filings","Number","Foreclosures","4"
"Eastford","0901521860","2016","Total Foreclosures","Number","Foreclosures","2"
"East Granby","0900322070","2008","Lis Penden Filings","Number","Foreclosures","20"
"East Granby","0900322070","2008","Total Foreclosures","Number","Foreclosures","3"
"East Granby","0900322070","2009","Lis Penden Filings","Number","Foreclosures","22"
"East Granby","0900322070","2009","Total Foreclosures","Number","Foreclosures","6"
"East Granby","0900322070","2010","Lis Penden Filings","Number","Foreclosures","18"
"East Granby","0900322070","2010","Total Foreclosures","Number","Foreclosures","5"
"East Granby","0900322070","2011","Lis Penden Filings","Number","Foreclosures","11"
"East Granby","0900322070","2011","Total Foreclosures","Number","Foreclosures","1"
"East Granby","0900322070","2012","Lis Penden Filings","Number","Foreclosures","33"
"East Granby","0900322070","2012","Total Foreclosures","Number","Foreclosures","0"
"East Granby","0900322070","2013","Lis Penden Filings","Number","Foreclosures","22"
"East Granby","0900322070","2013","Total Foreclosures","Number","Foreclosures","0"
"East Granby","0900322070","2014","Lis Penden Filings","Number","Foreclosures","33"
"East Granby","0900322070","2014","Total Foreclosures","Number","Foreclosures","0"
"East Granby","0900322070","2015","Lis Penden Filings","Number","Foreclosures","20"
"East Granby","0900322070","2015","Total Foreclosures","Number","Foreclosures","0"
"East Granby","0900322070","2016","Lis Penden Filings","Number","Foreclosures","16"
"East Granby","0900322070","2016","Total Foreclosures","Number","Foreclosures","4"
"East Haddam","0900722280","2008","Lis Penden Filings","Number","Foreclosures","29"
"East Haddam","0900722280","2008","Total Foreclosures","Number","Foreclosures","2"
"East Haddam","0900722280","2009","Lis Penden Filings","Number","Foreclosures","55"
"East Haddam","0900722280","2009","Total Foreclosures","Number","Foreclosures","7"
"East Haddam","0900722280","2010","Lis Penden Filings","Number","Foreclosures","65"
"East Haddam","0900722280","2010","Total Foreclosures","Number","Foreclosures","8"
"East Haddam","0900722280","2011","Lis Penden Filings","Number","Foreclosures","26"
"East Haddam","0900722280","2011","Total Foreclosures","Number","Foreclosures","4"
"East Haddam","0900722280","2012","Lis Penden Filings","Number","Foreclosures","39"
"East Haddam","0900722280","2012","Total Foreclosures","Number","Foreclosures","7"
"East Haddam","0900722280","2013","Lis Penden Filings","Number","Foreclosures","46"
"East Haddam","0900722280","2013","Total Foreclosures","Number","Foreclosures","13"
"East Haddam","0900722280","2014","Lis Penden Filings","Number","Foreclosures","24"
"East Haddam","0900722280","2014","Total Foreclosures","Number","Foreclosures","32"
"East Haddam","0900722280","2015","Lis Penden Filings","Number","Foreclosures","22"
"East Haddam","0900722280","2015","Total Foreclosures","Number","Foreclosures","10"
"East Haddam","0900722280","2016","Lis Penden Filings","Number","Foreclosures","49"
"East Haddam","0900722280","2016","Total Foreclosures","Number","Foreclosures","20"
"East Hampton","0900722490","2008","Lis Penden Filings","Number","Foreclosures","51"
"East Hampton","0900722490","2008","Total Foreclosures","Number","Foreclosures","16"
"East Hampton","0900722490","2009","Lis Penden Filings","Number","Foreclosures","62"
"East Hampton","0900722490","2009","Total Foreclosures","Number","Foreclosures","15"
"East Hampton","0900722490","2010","Lis Penden Filings","Number","Foreclosures","57"
"East Hampton","0900722490","2010","Total Foreclosures","Number","Foreclosures","17"
"East Hampton","0900722490","2011","Lis Penden Filings","Number","Foreclosures","32"
"East Hampton","0900722490","2011","Total Foreclosures","Number","Foreclosures","3"
"East Hampton","0900722490","2012","Lis Penden Filings","Number","Foreclosures","53"
"East Hampton","0900722490","2012","Total Foreclosures","Number","Foreclosures","0"
"East Hampton","0900722490","2013","Lis Penden Filings","Number","Foreclosures","64"
"East Hampton","0900722490","2013","Total Foreclosures","Number","Foreclosures","1"
"East Hampton","0900722490","2014","Lis Penden Filings","Number","Foreclosures","21"
"East Hampton","0900722490","2014","Total Foreclosures","Number","Foreclosures","1"
"East Hampton","0900722490","2015","Lis Penden Filings","Number","Foreclosures","37"
"East Hampton","0900722490","2015","Total Foreclosures","Number","Foreclosures","0"
"East Hampton","0900722490","2016","Lis Penden Filings","Number","Foreclosures","35"
"East Hampton","0900722490","2016","Total Foreclosures","Number","Foreclosures","1"
"East Hartford","0900322630","2008","Lis Penden Filings","Number","Foreclosures","323"
"East Hartford","0900322630","2008","Total Foreclosures","Number","Foreclosures","120"
"East Hartford","0900322630","2009","Lis Penden Filings","Number","Foreclosures","476"
"East Hartford","0900322630","2009","Total Foreclosures","Number","Foreclosures","124"
"East Hartford","0900322630","2010","Lis Penden Filings","Number","Foreclosures","400"
"East Hartford","0900322630","2010","Total Foreclosures","Number","Foreclosures","141"
"East Hartford","0900322630","2011","Lis Penden Filings","Number","Foreclosures","241"
"East Hartford","0900322630","2011","Total Foreclosures","Number","Foreclosures","74"
"East Hartford","0900322630","2012","Lis Penden Filings","Number","Foreclosures","327"
"East Hartford","0900322630","2012","Total Foreclosures","Number","Foreclosures","95"
"East Hartford","0900322630","2013","Lis Penden Filings","Number","Foreclosures","416"
"East Hartford","0900322630","2013","Total Foreclosures","Number","Foreclosures","135"
"East Hartford","0900322630","2014","Lis Penden Filings","Number","Foreclosures","33"
"East Hartford","0900322630","2014","Total Foreclosures","Number","Foreclosures","149"
"East Hartford","0900322630","2015","Lis Penden Filings","Number","Foreclosures","211"
"East Hartford","0900322630","2015","Total Foreclosures","Number","Foreclosures","240"
"East Hartford","0900322630","2016","Lis Penden Filings","Number","Foreclosures","274"
"East Hartford","0900322630","2016","Total Foreclosures","Number","Foreclosures","123"
"East Haven","0900922910","2008","Lis Penden Filings","Number","Foreclosures","185"
"East Haven","0900922910","2008","Total Foreclosures","Number","Foreclosures","52"
"East Haven","0900922910","2009","Lis Penden Filings","Number","Foreclosures","342"
"East Haven","0900922910","2009","Total Foreclosures","Number","Foreclosures","79"
"East Haven","0900922910","2010","Lis Penden Filings","Number","Foreclosures","325"
"East Haven","0900922910","2010","Total Foreclosures","Number","Foreclosures","68"
"East Haven","0900922910","2011","Lis Penden Filings","Number","Foreclosures","213"
"East Haven","0900922910","2011","Total Foreclosures","Number","Foreclosures","31"
"East Haven","0900922910","2012","Lis Penden Filings","Number","Foreclosures","296"
"East Haven","0900922910","2012","Total Foreclosures","Number","Foreclosures","47"
"East Haven","0900922910","2013","Lis Penden Filings","Number","Foreclosures","437"
"East Haven","0900922910","2013","Total Foreclosures","Number","Foreclosures","63"
"East Haven","0900922910","2014","Lis Penden Filings","Number","Foreclosures","32"
"East Haven","0900922910","2014","Total Foreclosures","Number","Foreclosures","108"
"East Haven","0900922910","2015","Lis Penden Filings","Number","Foreclosures","225"
"East Haven","0900922910","2015","Total Foreclosures","Number","Foreclosures","21"
"East Haven","0900922910","2016","Lis Penden Filings","Number","Foreclosures","232"
"East Haven","0900922910","2016","Total Foreclosures","Number","Foreclosures","79"
"East Lyme","0901123400","2008","Lis Penden Filings","Number","Foreclosures","34"
"East Lyme","0901123400","2008","Total Foreclosures","Number","Foreclosures","6"
"East Lyme","0901123400","2009","Lis Penden Filings","Number","Foreclosures","69"
"East Lyme","0901123400","2009","Total Foreclosures","Number","Foreclosures","9"
"East Lyme","0901123400","2010","Lis Penden Filings","Number","Foreclosures","63"
"East Lyme","0901123400","2010","Total Foreclosures","Number","Foreclosures","11"
"East Lyme","0901123400","2011","Lis Penden Filings","Number","Foreclosures","32"
"East Lyme","0901123400","2011","Total Foreclosures","Number","Foreclosures","7"
"East Lyme","0901123400","2012","Lis Penden Filings","Number","Foreclosures","47"
"East Lyme","0901123400","2012","Total Foreclosures","Number","Foreclosures","9"
"East Lyme","0901123400","2013","Lis Penden Filings","Number","Foreclosures","76"
"East Lyme","0901123400","2013","Total Foreclosures","Number","Foreclosures","4"
"East Lyme","0901123400","2014","Lis Penden Filings","Number","Foreclosures","23"
"East Lyme","0901123400","2014","Total Foreclosures","Number","Foreclosures","1"
"East Lyme","0901123400","2015","Lis Penden Filings","Number","Foreclosures","34"
"East Lyme","0901123400","2015","Total Foreclosures","Number","Foreclosures","0"
"East Lyme","0901123400","2016","Lis Penden Filings","Number","Foreclosures","63"
"East Lyme","0901123400","2016","Total Foreclosures","Number","Foreclosures","6"
"Easton","0900123890","2008","Lis Penden Filings","Number","Foreclosures","21"
"Easton","0900123890","2008","Total Foreclosures","Number","Foreclosures","0"
"Easton","0900123890","2009","Lis Penden Filings","Number","Foreclosures","42"
"Easton","0900123890","2009","Total Foreclosures","Number","Foreclosures","5"
"Easton","0900123890","2010","Lis Penden Filings","Number","Foreclosures","37"
"Easton","0900123890","2010","Total Foreclosures","Number","Foreclosures","2"
"Easton","0900123890","2011","Lis Penden Filings","Number","Foreclosures","17"
"Easton","0900123890","2011","Total Foreclosures","Number","Foreclosures","2"
"Easton","0900123890","2012","Lis Penden Filings","Number","Foreclosures","33"
"Easton","0900123890","2012","Total Foreclosures","Number","Foreclosures","0"
"Easton","0900123890","2013","Lis Penden Filings","Number","Foreclosures","29"
"Easton","0900123890","2013","Total Foreclosures","Number","Foreclosures","0"
"Easton","0900123890","2014","Lis Penden Filings","Number","Foreclosures","16"
"Easton","0900123890","2014","Total Foreclosures","Number","Foreclosures","7"
"Easton","0900123890","2015","Lis Penden Filings","Number","Foreclosures","26"
"Easton","0900123890","2015","Total Foreclosures","Number","Foreclosures","19"
"Easton","0900123890","2016","Lis Penden Filings","Number","Foreclosures","26"
"Easton","0900123890","2016","Total Foreclosures","Number","Foreclosures","2"
"East Windsor","0900324800","2008","Lis Penden Filings","Number","Foreclosures","22"
"East Windsor","0900324800","2008","Total Foreclosures","Number","Foreclosures","3"
"East Windsor","0900324800","2009","Lis Penden Filings","Number","Foreclosures","61"
"East Windsor","0900324800","2009","Total Foreclosures","Number","Foreclosures","7"
"East Windsor","0900324800","2010","Lis Penden Filings","Number","Foreclosures","58"
"East Windsor","0900324800","2010","Total Foreclosures","Number","Foreclosures","8"
"East Windsor","0900324800","2011","Lis Penden Filings","Number","Foreclosures","30"
"East Windsor","0900324800","2011","Total Foreclosures","Number","Foreclosures","8"
"East Windsor","0900324800","2012","Lis Penden Filings","Number","Foreclosures","59"
"East Windsor","0900324800","2012","Total Foreclosures","Number","Foreclosures","11"
"East Windsor","0900324800","2013","Lis Penden Filings","Number","Foreclosures","107"
"East Windsor","0900324800","2013","Total Foreclosures","Number","Foreclosures","16"
"East Windsor","0900324800","2014","Lis Penden Filings","Number","Foreclosures","37"
"East Windsor","0900324800","2014","Total Foreclosures","Number","Foreclosures","37"
"East Windsor","0900324800","2015","Lis Penden Filings","Number","Foreclosures","26"
"East Windsor","0900324800","2015","Total Foreclosures","Number","Foreclosures","8"
"East Windsor","0900324800","2016","Lis Penden Filings","Number","Foreclosures","31"
"East Windsor","0900324800","2016","Total Foreclosures","Number","Foreclosures","12"
"Ellington","0901325360","2008","Lis Penden Filings","Number","Foreclosures","22"
"Ellington","0901325360","2008","Total Foreclosures","Number","Foreclosures","7"
"Ellington","0901325360","2009","Lis Penden Filings","Number","Foreclosures","58"
"Ellington","0901325360","2009","Total Foreclosures","Number","Foreclosures","11"
"Ellington","0901325360","2010","Lis Penden Filings","Number","Foreclosures","52"
"Ellington","0901325360","2010","Total Foreclosures","Number","Foreclosures","9"
"Ellington","0901325360","2011","Lis Penden Filings","Number","Foreclosures","22"
"Ellington","0901325360","2011","Total Foreclosures","Number","Foreclosures","2"
"Ellington","0901325360","2012","Lis Penden Filings","Number","Foreclosures","45"
"Ellington","0901325360","2012","Total Foreclosures","Number","Foreclosures","0"
"Ellington","0901325360","2013","Lis Penden Filings","Number","Foreclosures","52"
"Ellington","0901325360","2013","Total Foreclosures","Number","Foreclosures","1"
"Ellington","0901325360","2014","Lis Penden Filings","Number","Foreclosures","24"
"Ellington","0901325360","2014","Total Foreclosures","Number","Foreclosures","3"
"Ellington","0901325360","2015","Lis Penden Filings","Number","Foreclosures","38"
"Ellington","0901325360","2015","Total Foreclosures","Number","Foreclosures","0"
"Ellington","0901325360","2016","Lis Penden Filings","Number","Foreclosures","35"
"Ellington","0901325360","2016","Total Foreclosures","Number","Foreclosures","4"
"Enfield","0900325990","2008","Lis Penden Filings","Number","Foreclosures","180"
"Enfield","0900325990","2008","Total Foreclosures","Number","Foreclosures","55"
"Enfield","0900325990","2009","Lis Penden Filings","Number","Foreclosures","244"
"Enfield","0900325990","2009","Total Foreclosures","Number","Foreclosures","58"
"Enfield","0900325990","2010","Lis Penden Filings","Number","Foreclosures","216"
"Enfield","0900325990","2010","Total Foreclosures","Number","Foreclosures","80"
"Enfield","0900325990","2011","Lis Penden Filings","Number","Foreclosures","115"
"Enfield","0900325990","2011","Total Foreclosures","Number","Foreclosures","29"
"Enfield","0900325990","2012","Lis Penden Filings","Number","Foreclosures","187"
"Enfield","0900325990","2012","Total Foreclosures","Number","Foreclosures","47"
"Enfield","0900325990","2013","Lis Penden Filings","Number","Foreclosures","232"
"Enfield","0900325990","2013","Total Foreclosures","Number","Foreclosures","61"
"Enfield","0900325990","2014","Lis Penden Filings","Number","Foreclosures","22"
"Enfield","0900325990","2014","Total Foreclosures","Number","Foreclosures","72"
"Enfield","0900325990","2015","Lis Penden Filings","Number","Foreclosures","126"
"Enfield","0900325990","2015","Total Foreclosures","Number","Foreclosures","71"
"Enfield","0900325990","2016","Lis Penden Filings","Number","Foreclosures","140"
"Enfield","0900325990","2016","Total Foreclosures","Number","Foreclosures","72"
"Essex","0900726270","2008","Lis Penden Filings","Number","Foreclosures","18"
"Essex","0900726270","2008","Total Foreclosures","Number","Foreclosures","3"
"Essex","0900726270","2009","Lis Penden Filings","Number","Foreclosures","44"
"Essex","0900726270","2009","Total Foreclosures","Number","Foreclosures","4"
"Essex","0900726270","2010","Lis Penden Filings","Number","Foreclosures","28"
"Essex","0900726270","2010","Total Foreclosures","Number","Foreclosures","8"
"Essex","0900726270","2011","Lis Penden Filings","Number","Foreclosures","21"
"Essex","0900726270","2011","Total Foreclosures","Number","Foreclosures","0"
"Essex","0900726270","2012","Lis Penden Filings","Number","Foreclosures","29"
"Essex","0900726270","2012","Total Foreclosures","Number","Foreclosures","0"
"Essex","0900726270","2013","Lis Penden Filings","Number","Foreclosures","22"
"Essex","0900726270","2013","Total Foreclosures","Number","Foreclosures","0"
"Essex","0900726270","2014","Lis Penden Filings","Number","Foreclosures","41"
"Essex","0900726270","2014","Total Foreclosures","Number","Foreclosures","1"
"Essex","0900726270","2015","Lis Penden Filings","Number","Foreclosures","14"
"Essex","0900726270","2015","Total Foreclosures","Number","Foreclosures","0"
"Essex","0900726270","2016","Lis Penden Filings","Number","Foreclosures","16"
"Essex","0900726270","2016","Total Foreclosures","Number","Foreclosures","4"
"Fairfield","0900126620","2008","Lis Penden Filings","Number","Foreclosures","117"
"Fairfield","0900126620","2008","Total Foreclosures","Number","Foreclosures","24"
"Fairfield","0900126620","2009","Lis Penden Filings","Number","Foreclosures","293"
"Fairfield","0900126620","2009","Total Foreclosures","Number","Foreclosures","27"
"Fairfield","0900126620","2010","Lis Penden Filings","Number","Foreclosures","260"
"Fairfield","0900126620","2010","Total Foreclosures","Number","Foreclosures","51"
"Fairfield","0900126620","2011","Lis Penden Filings","Number","Foreclosures","153"
"Fairfield","0900126620","2011","Total Foreclosures","Number","Foreclosures","16"
"Fairfield","0900126620","2012","Lis Penden Filings","Number","Foreclosures","203"
"Fairfield","0900126620","2012","Total Foreclosures","Number","Foreclosures","23"
"Fairfield","0900126620","2013","Lis Penden Filings","Number","Foreclosures","235"
"Fairfield","0900126620","2013","Total Foreclosures","Number","Foreclosures","21"
"Fairfield","0900126620","2014","Lis Penden Filings","Number","Foreclosures","54"
"Fairfield","0900126620","2014","Total Foreclosures","Number","Foreclosures","24"
"Fairfield","0900126620","2015","Lis Penden Filings","Number","Foreclosures","115"
"Fairfield","0900126620","2015","Total Foreclosures","Number","Foreclosures","27"
"Fairfield","0900126620","2016","Lis Penden Filings","Number","Foreclosures","148"
"Fairfield","0900126620","2016","Total Foreclosures","Number","Foreclosures","7"
"Farmington","0900327600","2008","Lis Penden Filings","Number","Foreclosures","54"
"Farmington","0900327600","2008","Total Foreclosures","Number","Foreclosures","12"
"Farmington","0900327600","2009","Lis Penden Filings","Number","Foreclosures","97"
"Farmington","0900327600","2009","Total Foreclosures","Number","Foreclosures","16"
"Farmington","0900327600","2010","Lis Penden Filings","Number","Foreclosures","88"
"Farmington","0900327600","2010","Total Foreclosures","Number","Foreclosures","13"
"Farmington","0900327600","2011","Lis Penden Filings","Number","Foreclosures","30"
"Farmington","0900327600","2011","Total Foreclosures","Number","Foreclosures","4"
"Farmington","0900327600","2012","Lis Penden Filings","Number","Foreclosures","70"
"Farmington","0900327600","2012","Total Foreclosures","Number","Foreclosures","0"
"Farmington","0900327600","2013","Lis Penden Filings","Number","Foreclosures","71"
"Farmington","0900327600","2013","Total Foreclosures","Number","Foreclosures","2"
"Farmington","0900327600","2014","Lis Penden Filings","Number","Foreclosures","20"
"Farmington","0900327600","2014","Total Foreclosures","Number","Foreclosures","4"
"Farmington","0900327600","2015","Lis Penden Filings","Number","Foreclosures","45"
"Farmington","0900327600","2015","Total Foreclosures","Number","Foreclosures","0"
"Farmington","0900327600","2016","Lis Penden Filings","Number","Foreclosures","47"
"Farmington","0900327600","2016","Total Foreclosures","Number","Foreclosures","4"
"Franklin","0901129910","2008","Lis Penden Filings","Number","Foreclosures","7"
"Franklin","0901129910","2008","Total Foreclosures","Number","Foreclosures","1"
"Franklin","0901129910","2009","Lis Penden Filings","Number","Foreclosures","16"
"Franklin","0901129910","2009","Total Foreclosures","Number","Foreclosures","5"
"Franklin","0901129910","2010","Lis Penden Filings","Number","Foreclosures","8"
"Franklin","0901129910","2010","Total Foreclosures","Number","Foreclosures","2"
"Franklin","0901129910","2011","Lis Penden Filings","Number","Foreclosures","6"
"Franklin","0901129910","2011","Total Foreclosures","Number","Foreclosures","1"
"Franklin","0901129910","2012","Lis Penden Filings","Number","Foreclosures","6"
"Franklin","0901129910","2012","Total Foreclosures","Number","Foreclosures","2"
"Franklin","0901129910","2013","Lis Penden Filings","Number","Foreclosures","6"
"Franklin","0901129910","2013","Total Foreclosures","Number","Foreclosures","3"
"Franklin","0901129910","2014","Lis Penden Filings","Number","Foreclosures","37"
"Franklin","0901129910","2014","Total Foreclosures","Number","Foreclosures","0"
"Franklin","0901129910","2015","Lis Penden Filings","Number","Foreclosures","9"
"Franklin","0901129910","2015","Total Foreclosures","Number","Foreclosures","1"
"Franklin","0901129910","2016","Lis Penden Filings","Number","Foreclosures","9"
"Franklin","0901129910","2016","Total Foreclosures","Number","Foreclosures","2"
"Glastonbury","0900331240","2008","Lis Penden Filings","Number","Foreclosures","65"
"Glastonbury","0900331240","2008","Total Foreclosures","Number","Foreclosures","8"
"Glastonbury","0900331240","2009","Lis Penden Filings","Number","Foreclosures","149"
"Glastonbury","0900331240","2009","Total Foreclosures","Number","Foreclosures","18"
"Glastonbury","0900331240","2010","Lis Penden Filings","Number","Foreclosures","132"
"Glastonbury","0900331240","2010","Total Foreclosures","Number","Foreclosures","32"
"Glastonbury","0900331240","2011","Lis Penden Filings","Number","Foreclosures","71"
"Glastonbury","0900331240","2011","Total Foreclosures","Number","Foreclosures","24"
"Glastonbury","0900331240","2012","Lis Penden Filings","Number","Foreclosures","112"
"Glastonbury","0900331240","2012","Total Foreclosures","Number","Foreclosures","15"
"Glastonbury","0900331240","2013","Lis Penden Filings","Number","Foreclosures","113"
"Glastonbury","0900331240","2013","Total Foreclosures","Number","Foreclosures","32"
"Glastonbury","0900331240","2014","Lis Penden Filings","Number","Foreclosures","41"
"Glastonbury","0900331240","2014","Total Foreclosures","Number","Foreclosures","30"
"Glastonbury","0900331240","2015","Lis Penden Filings","Number","Foreclosures","59"
"Glastonbury","0900331240","2015","Total Foreclosures","Number","Foreclosures","21"
"Glastonbury","0900331240","2016","Lis Penden Filings","Number","Foreclosures","87"
"Glastonbury","0900331240","2016","Total Foreclosures","Number","Foreclosures","15"
"Goshen","0900532290","2008","Lis Penden Filings","Number","Foreclosures","4"
"Goshen","0900532290","2008","Total Foreclosures","Number","Foreclosures","2"
"Goshen","0900532290","2009","Lis Penden Filings","Number","Foreclosures","19"
"Goshen","0900532290","2009","Total Foreclosures","Number","Foreclosures","3"
"Goshen","0900532290","2010","Lis Penden Filings","Number","Foreclosures","22"
"Goshen","0900532290","2010","Total Foreclosures","Number","Foreclosures","5"
"Goshen","0900532290","2011","Lis Penden Filings","Number","Foreclosures","2"
"Goshen","0900532290","2011","Total Foreclosures","Number","Foreclosures","2"
"Goshen","0900532290","2012","Lis Penden Filings","Number","Foreclosures","7"
"Goshen","0900532290","2012","Total Foreclosures","Number","Foreclosures","4"
"Goshen","0900532290","2013","Lis Penden Filings","Number","Foreclosures","13"
"Goshen","0900532290","2013","Total Foreclosures","Number","Foreclosures","4"
"Goshen","0900532290","2014","Lis Penden Filings","Number","Foreclosures","28"
"Goshen","0900532290","2014","Total Foreclosures","Number","Foreclosures","2"
"Goshen","0900532290","2015","Lis Penden Filings","Number","Foreclosures","8"
"Goshen","0900532290","2015","Total Foreclosures","Number","Foreclosures","4"
"Goshen","0900532290","2016","Lis Penden Filings","Number","Foreclosures","7"
"Goshen","0900532290","2016","Total Foreclosures","Number","Foreclosures","1"
"Granby","0900332640","2008","Lis Penden Filings","Number","Foreclosures","29"
"Granby","0900332640","2008","Total Foreclosures","Number","Foreclosures","5"
"Granby","0900332640","2009","Lis Penden Filings","Number","Foreclosures","37"
"Granby","0900332640","2009","Total Foreclosures","Number","Foreclosures","9"
"Granby","0900332640","2010","Lis Penden Filings","Number","Foreclosures","39"
"Granby","0900332640","2010","Total Foreclosures","Number","Foreclosures","12"
"Granby","0900332640","2011","Lis Penden Filings","Number","Foreclosures","21"
"Granby","0900332640","2011","Total Foreclosures","Number","Foreclosures","10"
"Granby","0900332640","2012","Lis Penden Filings","Number","Foreclosures","31"
"Granby","0900332640","2012","Total Foreclosures","Number","Foreclosures","12"
"Granby","0900332640","2013","Lis Penden Filings","Number","Foreclosures","43"
"Granby","0900332640","2013","Total Foreclosures","Number","Foreclosures","9"
"Granby","0900332640","2014","Lis Penden Filings","Number","Foreclosures","12"
"Granby","0900332640","2014","Total Foreclosures","Number","Foreclosures","13"
"Granby","0900332640","2015","Lis Penden Filings","Number","Foreclosures","14"
"Granby","0900332640","2015","Total Foreclosures","Number","Foreclosures","4"
"Granby","0900332640","2016","Lis Penden Filings","Number","Foreclosures","29"
"Granby","0900332640","2016","Total Foreclosures","Number","Foreclosures","4"
"Greenwich","0900133620","2008","Lis Penden Filings","Number","Foreclosures","102"
"Greenwich","0900133620","2008","Total Foreclosures","Number","Foreclosures","9"
"Greenwich","0900133620","2009","Lis Penden Filings","Number","Foreclosures","223"
"Greenwich","0900133620","2009","Total Foreclosures","Number","Foreclosures","30"
"Greenwich","0900133620","2010","Lis Penden Filings","Number","Foreclosures","171"
"Greenwich","0900133620","2010","Total Foreclosures","Number","Foreclosures","41"
"Greenwich","0900133620","2011","Lis Penden Filings","Number","Foreclosures","55"
"Greenwich","0900133620","2011","Total Foreclosures","Number","Foreclosures","16"
"Greenwich","0900133620","2012","Lis Penden Filings","Number","Foreclosures","78"
"Greenwich","0900133620","2012","Total Foreclosures","Number","Foreclosures","10"
"Greenwich","0900133620","2013","Lis Penden Filings","Number","Foreclosures","115"
"Greenwich","0900133620","2013","Total Foreclosures","Number","Foreclosures","7"
"Greenwich","0900133620","2014","Lis Penden Filings","Number","Foreclosures","50"
"Greenwich","0900133620","2014","Total Foreclosures","Number","Foreclosures","5"
"Greenwich","0900133620","2015","Lis Penden Filings","Number","Foreclosures","64"
"Greenwich","0900133620","2015","Total Foreclosures","Number","Foreclosures","1"
"Greenwich","0900133620","2016","Lis Penden Filings","Number","Foreclosures","101"
"Greenwich","0900133620","2016","Total Foreclosures","Number","Foreclosures","20"
