Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
North Branford 40,2,4,3,9,6,5,4,15,2,1,7,10,4,1 1 6,
North Canaan 11,1,0,2,3,2,1,1,4,1,0,1,2,1,1 0 2,
North Haven 38,3,4,3,10,4,3,0,7,3,3,6,12,1,2 6 9,
North Stonington 24,1,3,0,4,3,3,5,11,0,3,3,6,1,2 0 3,
Norwalk 286,22,2,15,39,60,28,20,108,19,8,25,52,37,12 38 87,
Norwich 204,11,26,11,48,26,5,24,55,13,21,13,47,17,9 28 54,
Old Lyme 10,0,0,2,2,0,2,1,3,1,0,2,3,1,1 0 2,
Old Saybrook 28,2,2,1,5,1,5,1,7,2,2,7,11,0,5 0 5,
Orange 18,1,0,1,2,3,1,1,5,0,0,4,4,0,5 2 7,
Oxford 28,3,4,2,9,3,1,0,4,2,3,2,7,1,2 5 8,
Lis Penden Filings,,,,,,,,,,,,,,Connecticut,
2011,,,,,,,,,,,,,,Sorted by Municipality,
,,,,Total,,,,Total,,,,Total,,Total,
Town Totals,,,,,,,,,,,,,,,
Town,Jan,Feb,Mar,"Quarter 1,",April,May,June,"Quarter 2,",July,Aug,Sept,"Quarter 3,",Oct,"Nov Dec Quarter 4,",
2011,,,,,,,,,,,,,,,
,,,,2011,,,,2011,,,,2011,,2011,
Plainfield 80,3,11,3,17,11,9,3,23,4,12,5,21,8,3 8 19,
Plainville 42,2,20,1,23,5,0,2,7,0,3,0,3,2,4 3 9,
Plymouth 62,2,5,4,11,9,12,6,27,2,3,5,10,5,2 7 14,
Pomfret 18,2,3,0,5,3,0,0,3,1,1,1,3,3,3 1 7,
Portland 18,1,3,0,4,0,2,4,6,2,0,3,5,1,0 2 3,
Preston 22,0,5,1,6,3,1,2,6,1,2,5,8,0,2 0 2,
Prospect 20,2,2,0,4,2,2,2,6,3,0,1,4,3,1 2 6,
Putnam 49,1,2,6,9,2,5,5,12,9,4,7,20,1,2 5 8,
Redding 25,2,2,2,6,2,2,0,4,1,2,2,5,3,1 6 10,
Ridgefield 48,1,6,0,7,8,3,7,18,4,5,6,15,7,1 0 8,
Rocky Hill 52,9,4,5,18,4,3,2,9,5,7,3,15,1,3 6 10,
Roxbury 4,2,0,0,2,0,0,0,0,1,0,1,2,0,0 0 0,
Salem 25,0,1,3,4,1,0,5,6,0,5,7,12,1,1 1 3,
